epoch,acc,loss,val_acc,val_loss
0,0.6095959589938925,0.8296302005498096,0.7250000010837209,0.5782611359249462
1,0.691919191076298,0.6677997420532534,0.831818180734461,0.3956469963897358
2,0.7060606059401926,0.6313665603146409,0.7909090887416493,0.4789024602283131
3,0.7199494948290815,0.6147055792086052,0.856818180734461,0.3343686699867249
4,0.7472222213793283,0.5582690798875057,0.8340909123420716,0.4090526683764024
5,0.7553030295805497,0.5381915537395863,0.888636361468922,0.284772253036499
6,0.7739898995919661,0.5038259859638985,0.7977272694761103,0.4650695638223128
7,0.7931818187838853,0.4690015956608936,0.7613636363636364,0.5033888047391718
8,0.7962121213325346,0.4593435271821841,0.8590909090909091,0.3297641223127192
9,0.8164141410529011,0.4200132150842686,0.8545454567128962,0.3382375863465396
10,0.822727273088513,0.3976628581682841,0.8659090919928117,0.3130260017785159
11,0.8434343434343434,0.360133727993628,0.8681818170980974,0.3126370299946178
12,0.8570707076727742,0.3291445405194254,0.879545452378013,0.29904795343225654
13,0.8714646461034062,0.30978217666799374,0.8545454567128962,0.33880515423688023
14,0.8641414141414141,0.30579835929051796,0.8659090887416493,0.30717885385860094
15,0.8904040406448672,0.2756685580870118,0.8727272705598311,0.29742165803909304
16,0.8893939393939394,0.2678119781041386,0.8454545465382662,0.36322629072449425
17,0.9007575753963355,0.23411650290392866,0.8250000032511624,0.40171789526939394
18,0.9073232320824055,0.23160276491232593,0.813636366887526,0.41806771430102263
19,0.9133838376613579,0.22565811481138673,0.8545454534617337,0.31951605081558226
20,0.9179292928088795,0.20332427088058355,0.8295454556291754,0.3896391971544786
21,0.9204545462974394,0.19497902817798382,0.8931818160143765,0.2754759905013171
22,0.9277777770552972,0.1828894271995082,0.8749999978325583,0.316422392021526
23,0.9295454541842143,0.173903116824651,0.8590909090909091,0.3512966367331418
24,0.9419191920396054,0.1564485093258848,0.875,0.30814882571047003
25,0.9376262617833686,0.1514867515576006,0.8749999978325583,0.31793973500078376
26,0.9464646457421659,0.14284682635105017,0.8340909112583507,0.37587363069707697
27,0.9487373733761335,0.13452430162766968,0.9045454512942921,0.24886729527603496
